snapped_at,price,market_cap,total_volume
2021-12-31 00:00:00 UTC,0.4160257033653374,1446882043.4329326,273807443.8316092
2022-01-01 00:00:00 UTC,0.43218284563553,1513907542.758664,261030241.17905116
2022-01-02 00:00:00 UTC,0.449829900361038,1564610876.7555733,207818736.73604545
2022-01-03 00:00:00 UTC,0.41630306511218096,1454695270.4444244,160031932.72051522
2022-01-04 00:00:00 UTC,0.42674530238869784,1499154842.0339282,211569805.04242176
2022-01-05 00:00:00 UTC,0.4030405742109959,1451395479.7438552,152064986.69657576
2022-01-06 00:00:00 UTC,0.38445686552236935,1320254169.6968284,196836065.27629626
2022-01-07 00:00:00 UTC,0.3998104097782771,1400868084.4899998,221912846.23425913
2022-01-08 00:00:00 UTC,0.3568182002819664,1245908752.4142458,182375533.28123167
2022-01-09 00:00:00 UTC,0.34527098401728523,1208937328.8349657,165126155.36714038
2022-01-10 00:00:00 UTC,0.3360390419775777,1172832445.9182732,140864807.0686748
2022-01-11 00:00:00 UTC,0.36218929899548014,1264216921.8516476,205555284.4527328
2022-01-12 00:00:00 UTC,0.44567348985060373,1557909968.0568695,425017086.07174176
2022-01-13 00:00:00 UTC,0.5258824428193469,1860513220.0883641,654891357.5484684
2022-01-14 00:00:00 UTC,0.4984486972206524,1748971222.067727,397190864.03554183
2022-01-15 00:00:00 UTC,0.5686256869108469,1979649303.5944898,448911368.063129
2022-01-16 00:00:00 UTC,0.5667374478572437,1982093794.648936,334143471.52530617
2022-01-17 00:00:00 UTC,0.5220816601130561,1823812207.7874386,290950449.6974425
2022-01-18 00:00:00 UTC,0.4982863756115437,1740441228.1603246,395580892.35584074
2022-01-19 00:00:00 UTC,0.48328617251025013,1688507868.7255921,360658379.70918864
2022-01-20 00:00:00 UTC,0.45551505477140214,1594805509.6762178,326586780.0777161
2022-01-21 00:00:00 UTC,0.4199921287729161,1469163884.9608717,338955901.41034836
2022-01-22 00:00:00 UTC,0.365115356400869,1278119728.460685,379937784.8348047
2022-01-23 00:00:00 UTC,0.30739413672843285,1076427907.6432421,410243446.0626274
2022-01-24 00:00:00 UTC,0.35281203311890247,1231115109.0599678,311858119.1246656
2022-01-25 00:00:00 UTC,0.33345432777921374,1166107166.7397587,351367290.71779925
2022-01-26 00:00:00 UTC,0.3201390748093715,1117350265.0632024,262642903.7355396
2022-01-27 00:00:00 UTC,0.3147800476291382,1103679771.986383,321669957.2838786
2022-01-28 00:00:00 UTC,0.31090808089873256,1084511709.313692,168833529.32880065
2022-01-29 00:00:00 UTC,0.3116101508396485,1087425587.5814085,152239846.90339154
2022-01-30 00:00:00 UTC,0.3253284490208659,1132537304.9514153,157107574.70772257
2022-01-31 00:00:00 UTC,0.3141271897167988,1097177828.8278503,89116234.55807024
2022-02-01 00:00:00 UTC,0.32340501720837167,1125362145.0960913,112640516.10651304
2022-02-02 00:00:00 UTC,0.3264577734881932,1141159926.2823226,114840567.78633742
2022-02-03 00:00:00 UTC,0.3283260824683821,1144936385.5846941,185563930.89675295
2022-02-04 00:00:00 UTC,0.33269555547245716,1155137753.1988509,129424563.64107226
2022-02-05 00:00:00 UTC,0.35735097979324965,1230355382.8430507,192516935.76217112
2022-02-06 00:00:00 UTC,0.35055603698074567,1226688489.5125144,167174219.08521467
2022-02-07 00:00:00 UTC,0.36589553209223036,1278611124.4282038,125590184.38571842
2022-02-08 00:00:00 UTC,0.384051275731638,1338419062.0038798,207481871.744739
2022-02-09 00:00:00 UTC,0.3666647812815265,1280698248.205213,162973278.27178872
2022-02-10 00:00:00 UTC,0.37677831257160466,1316867530.9154916,160246270.64247248
2022-02-11 00:00:00 UTC,0.34500327375423356,1203656690.5944917,179686624.07811144
2022-02-12 00:00:00 UTC,0.31737631861775883,1106325411.433354,148727575.62848425
2022-02-13 00:00:00 UTC,0.3121041871716543,1084143404.2967162,118994645.87787534
2022-02-14 00:00:00 UTC,0.29143219576185836,1015641172.2351583,110087548.47194856
2022-02-15 00:00:00 UTC,0.2924263316188557,1019895850.8833984,116048200.66718718
2022-02-16 00:00:00 UTC,0.31795631623454307,1111347049.087683,136539641.44028845
