snapped_at,price,market_cap,total_volume
2021-09-08 00:00:00 UTC,0.5487057594591486,0.0,11696061.46127261
2021-09-09 00:00:00 UTC,0.5487057594591486,0.0,11696061.46127261
2021-09-10 00:00:00 UTC,0.4998381447871208,0.0,4251078.765264537
2021-09-11 00:00:00 UTC,0.4679134985481975,0.0,1907915.773756527
2021-09-12 00:00:00 UTC,0.6716133677858345,0.0,5437002.373843046
2021-09-13 00:00:00 UTC,0.728155485097043,0.0,5677725.799060692
2021-09-14 00:00:00 UTC,0.5676291626119365,0.0,3129736.1452648756
2021-09-15 00:00:00 UTC,0.5906710796225074,0.0,2171611.098180184
2021-09-16 00:00:00 UTC,0.5385324685506259,0.0,1495316.9624607076
2021-09-17 00:00:00 UTC,0.4441572635728595,0.0,1766319.510523463
2021-09-18 00:00:00 UTC,0.40652702547132075,0.0,1128835.690624507
2021-09-19 00:00:00 UTC,0.4166326267658879,0.0,1160743.5430395922
2021-09-20 00:00:00 UTC,0.4319083554603511,0.0,822582.2236806754
2021-09-21 00:00:00 UTC,0.34080329372981827,0.0,762376.4851058312
2021-09-22 00:00:00 UTC,0.31159401941693116,0.0,444041.23452541674
2021-09-23 00:00:00 UTC,0.3309253300886039,0.0,358131.2707207483
2021-09-24 00:00:00 UTC,0.33988182928394944,0.0,406898.7101629086
2021-09-25 00:00:00 UTC,0.3032565532465619,0.0,452049.0346070713
2021-09-26 00:00:00 UTC,0.3009393108116363,0.0,292591.3066127117
2021-09-27 00:00:00 UTC,0.2776577938096305,0.0,440681.6537275646
2021-09-28 00:00:00 UTC,0.2540191847612912,0.0,360629.3459158354
2021-09-29 00:00:00 UTC,0.25890555217052924,0.0,415625.42750513204
2021-09-30 00:00:00 UTC,0.315687787699184,0.0,976116.0384283628
2021-10-01 00:00:00 UTC,0.3500859083250885,0.0,1091971.7319953085
2021-10-02 00:00:00 UTC,0.3492873327110273,0.0,477115.3084223795
2021-10-03 00:00:00 UTC,0.3325961865075607,0.0,351575.3523957464
2021-10-04 00:00:00 UTC,0.3471081904673639,0.0,337179.76680554263
2021-10-05 00:00:00 UTC,0.32363372712263383,0.0,285507.9097844461
2021-10-06 00:00:00 UTC,0.33140926251404473,0.0,235159.82763699561
2021-10-07 00:00:00 UTC,0.3288636700534795,0.0,429576.63281237206
2021-10-08 00:00:00 UTC,0.3008216986394549,0.0,327121.3444085936
2021-10-09 00:00:00 UTC,0.27410329321763893,0.0,418085.0657022188
2021-10-10 00:00:00 UTC,0.2614554656301479,0.0,382209.30449773534
2021-10-11 00:00:00 UTC,0.2807069252361478,0.0,679135.9156734672
2021-10-12 00:00:00 UTC,0.3696674099303358,0.0,1517199.2753998274
2021-10-13 00:00:00 UTC,0.3692035179350415,0.0,1388015.4876735075
2021-10-14 00:00:00 UTC,0.3453388258756989,0.0,614301.3443261378
2021-10-15 00:00:00 UTC,0.34289345319127806,0.0,485762.3871568213
2021-10-16 00:00:00 UTC,0.32185223723229,7793667.745302935,358726.7743797548
2021-10-17 00:00:00 UTC,0.316162154173043,7655882.104325887,314133.65808202815
2021-10-18 00:00:00 UTC,0.2996904060312606,7270382.384327972,412634.8033468734
2021-10-19 00:00:00 UTC,0.32791639709818454,7617603.266510671,654644.185636405
2021-10-20 00:00:00 UTC,0.32656948753029186,7892026.125415428,480699.627210743
2021-10-21 00:00:00 UTC,0.33443217950977727,8365316.861733382,664359.1598539219
2021-10-22 00:00:00 UTC,0.3141487872887027,7932518.644806553,453408.71562847355
2021-10-23 00:00:00 UTC,0.33338277964807195,8364391.435109666,328671.1028117134
2021-10-24 00:00:00 UTC,0.34357271475802065,8724191.48537718,497083.62489167886
2021-10-25 00:00:00 UTC,0.32973659857517923,8343450.6834300235,339987.1109362678
2021-10-26 00:00:00 UTC,0.3383757353941773,8494276.737389851,342359.89582812117
2021-10-27 00:00:00 UTC,0.3937172786253032,9940039.67593974,730145.9683466352
2021-10-28 00:00:00 UTC,0.3615246395579528,9592153.218833862,755867.6849667731
2021-10-29 00:00:00 UTC,0.3837502962421838,10144269.678061934,765777.3349847165
2021-10-30 00:00:00 UTC,0.46211118406476986,11535201.191341482,1142952.3476101102
2021-10-31 00:00:00 UTC,0.47522678091873755,12622016.648196861,1253234.1642851455
2021-11-01 00:00:00 UTC,0.4737226604876204,12680154.45656961,1854038.2884168434
2021-11-02 00:00:00 UTC,0.47054779942667946,12359034.464254946,979575.3737144627
2021-11-03 00:00:00 UTC,0.42825841053390445,11283496.858201237,843266.1913106078
2021-11-04 00:00:00 UTC,0.39759875777099946,10935532.040568804,577451.2212635961
2021-11-05 00:00:00 UTC,0.36936224851738103,10297184.545639029,647995.9550742416
2021-11-06 00:00:00 UTC,0.37889641958457093,10375724.707745101,475213.45743645675
2021-11-07 00:00:00 UTC,0.39515831848996685,10862568.83098918,839305.6298529529
2021-11-08 00:00:00 UTC,0.3847283490306391,11317164.859793404,608126.233557426
2021-11-09 00:00:00 UTC,0.3604468958579924,10740273.173633683,470311.4466853646
2021-11-10 00:00:00 UTC,0.37350770116288357,11151780.187494002,607413.6433495175
2021-11-11 00:00:00 UTC,0.3735884658022958,11526578.834682751,1201446.0203256793
2021-11-12 00:00:00 UTC,0.3694859895100556,11473776.256203974,683688.8881584668
2021-11-13 00:00:00 UTC,0.3382469559341018,10423748.89825648,769556.5044205578
2021-11-14 00:00:00 UTC,0.3424406493573721,10571477.183828618,552436.8787523418
2021-11-15 00:00:00 UTC,0.3179662289428023,9849835.27088275,899840.4378683171
2021-11-16 00:00:00 UTC,0.41746513213237374,12920232.442515496,4330076.850900316
2021-11-17 00:00:00 UTC,0.33450609444397955,10348950.910601012,1412853.5595082208
2021-11-18 00:00:00 UTC,0.3478655560921502,11129062.664713994,1271600.8508183341
2021-11-19 00:00:00 UTC,0.3223710053922394,10293367.904271625,960181.1142369658
2021-11-20 00:00:00 UTC,0.32066384506372503,10051753.616280189,843282.6018597555
2021-11-21 00:00:00 UTC,0.35387178508861133,11391861.787473658,1421936.2222420238
2021-11-22 00:00:00 UTC,0.32382213283484923,10357436.447265092,1423191.346540651
2021-11-23 00:00:00 UTC,0.30454316435581247,9739732.266813556,1169634.0449779877
2021-11-24 00:00:00 UTC,0.319107198827192,10305871.467407526,938220.3466584921
2021-11-25 00:00:00 UTC,0.2994411299084779,9882261.143086499,901853.0516437816
2021-11-26 00:00:00 UTC,0.3114015842171521,10299073.921006206,1009686.6647731737
2021-11-27 00:00:00 UTC,0.2780060935062728,9298149.870787552,983828.8150667312
2021-11-28 00:00:00 UTC,0.2786924578538407,9178617.268019915,991020.5888841301
2021-11-29 00:00:00 UTC,0.2728779906862423,9032298.088987907,837465.4949316514
2021-11-30 00:00:00 UTC,0.3142211433239179,10508353.171258627,1200263.9627663265
2021-12-01 00:00:00 UTC,0.30638591548795957,10273577.120197041,945110.8435242767
2021-12-02 00:00:00 UTC,0.29471334025414986,10154994.842865907,873666.987079495
2021-12-03 00:00:00 UTC,0.29873253197734845,10187910.675727004,455509.8465361685
2021-12-04 00:00:00 UTC,0.3018988939362469,10278032.368050288,702563.7467015864
2021-12-05 00:00:00 UTC,0.2599170782110526,8826624.10912339,528094.6887514916
2021-12-06 00:00:00 UTC,0.24206942268220602,8238870.778676525,566779.9808107422
2021-12-07 00:00:00 UTC,0.24106916338747414,8218715.921003253,590771.3223570489
2021-12-08 00:00:00 UTC,0.238469952541368,8715358.923712177,482546.6248996593
2021-12-09 00:00:00 UTC,0.24945629546644651,9221976.524911597,524776.3496790312
2021-12-10 00:00:00 UTC,0.23048949150588222,8562154.212754149,507168.5387046721
2021-12-11 00:00:00 UTC,0.22916744840969844,8485480.239911761,563304.4516385082
2021-12-12 00:00:00 UTC,0.228487991339198,8460321.69498922,489871.5659791254
2021-12-13 00:00:00 UTC,0.2364355452813266,8758931.179588873,529974.493750369
2021-12-14 00:00:00 UTC,0.2071869442317657,7670492.821948461,405342.2498368867
2021-12-15 00:00:00 UTC,0.20804585329559938,7688614.314779891,422872.6315629613
2021-12-16 00:00:00 UTC,0.22145133638509762,8242067.189852215,386449.28800548747
2021-12-17 00:00:00 UTC,0.20648058424235577,7780090.046571916,396940.2426211927
2021-12-18 00:00:00 UTC,0.18948002142057335,7139512.465637964,499834.6344005079
2021-12-19 00:00:00 UTC,0.18554228655964886,6984288.076544386,398105.0962353585
2021-12-20 00:00:00 UTC,0.1771953663844503,6665120.894235936,297206.3040752977
2021-12-21 00:00:00 UTC,0.16815208366507461,6391828.893896778,249546.0860990726
2021-12-22 00:00:00 UTC,0.18105565924737058,6895607.527323185,311365.1393948047
2021-12-23 00:00:00 UTC,0.17543715374169663,6715601.736352392,151128.4977946919
2021-12-24 00:00:00 UTC,0.1789432160041689,6812862.945367878,88797.5233859876
2021-12-25 00:00:00 UTC,0.17365168090263494,6634783.639610458,123567.90047286822
2021-12-26 00:00:00 UTC,0.1777824286464067,6810461.356239753,51775.57685194982
2021-12-27 00:00:00 UTC,0.16614839240291646,6369989.379488455,173793.55139642424
2021-12-28 00:00:00 UTC,0.17395402637872598,6652022.618009023,221881.41812903227
2021-12-29 00:00:00 UTC,0.16076841502542327,6120387.1743408255,180074.7830595921
2021-12-30 00:00:00 UTC,0.16265155489498034,6299528.4354140535,40782.65175011939
2021-12-31 00:00:00 UTC,0.15707596242433577,6100149.677678979,34835.93155225645
2022-01-01 00:00:00 UTC,0.15753957501634552,6133066.809114367,210930.77407692152
2022-01-02 00:00:00 UTC,0.16487956977827034,6374202.949902333,41656.10494047907
2022-01-03 00:00:00 UTC,0.16918604019178698,6561180.674704815,35268.640201458584
2022-01-04 00:00:00 UTC,0.17490505832921824,6797787.438611422,117520.2643228206
2022-01-05 00:00:00 UTC,0.18145967729401932,7067438.5622119205,27517.77710427039
2022-01-06 00:00:00 UTC,0.16450827366612844,6479092.336810672,29734.004469113283
2022-01-07 00:00:00 UTC,0.15821103873381662,6619701.277096432,56202.56384086324
2022-01-08 00:00:00 UTC,0.14832732094229095,6228469.638411032,40977.958103676916
2022-01-09 00:00:00 UTC,0.14822055718875357,6208011.801250758,28955.00949817173
2022-01-10 00:00:00 UTC,0.1617368765605044,6770351.85528454,198508.19899616519
2022-01-11 00:00:00 UTC,0.14660626406704363,6123117.569085968,35870.1548528256
2022-01-12 00:00:00 UTC,0.1485841761247017,6209449.359499833,61999.66019009809
2022-01-13 00:00:00 UTC,0.14758777764550668,6260681.381183762,18143.443554825957
2022-01-14 00:00:00 UTC,0.14447739482415536,6132344.247274024,12023.14744510087
2022-01-15 00:00:00 UTC,0.14568025538410584,6171623.13397274,22782.457652925008
2022-01-16 00:00:00 UTC,0.15011138512267824,6369343.409906906,25999.240752111884
2022-01-17 00:00:00 UTC,0.14609321275712986,6192244.6665382385,57155.192379518885
2022-01-18 00:00:00 UTC,0.14628736999151878,6244399.840217646,95765.75633344229
2022-01-19 00:00:00 UTC,0.18309156043821112,7783233.066278272,639229.7260445975
2022-01-20 00:00:00 UTC,0.17747516597769553,7691763.212651892,195553.70877407514
2022-01-21 00:00:00 UTC,0.16126350057149083,6872495.28945153,694375.3633585665
2022-01-22 00:00:00 UTC,0.1321762771208704,5679910.01398838,190708.31240166922
2022-01-23 00:00:00 UTC,0.11476485390101367,4856654.020195803,76062.16871417178
2022-01-24 00:00:00 UTC,0.11777946799625265,5065850.65217413,117890.79068219004
2022-01-25 00:00:00 UTC,0.11098370285997644,4769614.972144395,121626.04625391799
2022-01-26 00:00:00 UTC,0.12061666213981945,5185804.244551894,116108.31800070741
2022-01-27 00:00:00 UTC,0.1102583189794647,4850477.032295778,153506.73630431382
2022-01-28 00:00:00 UTC,0.11187070633893563,4866815.517389993,42643.4232584309
2022-01-29 00:00:00 UTC,0.127113994710231,5567259.048671373,223649.80811429152
2022-01-30 00:00:00 UTC,0.1644540282989742,7186144.958844214,836047.9125466057
2022-01-31 00:00:00 UTC,0.217422097635836,9468702.16463114,1190565.8392638196
2022-02-01 00:00:00 UTC,0.2247271747816142,9843334.030002315,601417.3842155553
2022-02-02 00:00:00 UTC,0.292170953521906,12733790.482989503,436761.793875257
2022-02-03 00:00:00 UTC,0.33095408667425424,14630926.390576376,371341.3671317883
2022-02-04 00:00:00 UTC,0.40843307844348026,18027355.410397977,1242714.2258921876
2022-02-05 00:00:00 UTC,0.3873766902219365,17173537.95213018,600142.2376820585
2022-02-06 00:00:00 UTC,0.3675723636034201,17099080.977597322,586124.5467621968
2022-02-07 00:00:00 UTC,0.33470591452835724,15551844.20330393,367065.6052771414
2022-02-08 00:00:00 UTC,0.34517270945072953,16053802.769783083,483392.13208184595
2022-02-09 00:00:00 UTC,0.30826654460926994,14399428.920408897,209070.8587287547
2022-02-10 00:00:00 UTC,0.3164684434870644,14919066.026897168,230385.61327766263
2022-02-11 00:00:00 UTC,0.3040138795759718,14373780.145001482,103593.65631347647
2022-02-12 00:00:00 UTC,0.29204406566102153,13758501.611997137,81588.28220996712
2022-02-13 00:00:00 UTC,0.2983984413359465,14069115.65178323,60094.04259446251
2022-02-14 00:00:00 UTC,0.2976402946027519,14028661.920525348,28038.165135000116
2022-02-15 00:00:00 UTC,0.3080759043645724,14638178.28400924,59918.23934278855
2022-02-16 00:00:00 UTC,0.31672278982447655,14669985.397749163,73542.60440710085
2022-02-17 00:00:00 UTC,0.30972834034922997,14803755.617552698,94821.46553965294
2022-02-18 00:00:00 UTC,0.29930197090520955,14275785.899840942,140694.22250739034
2022-02-19 00:00:00 UTC,0.27932075928281125,13342807.527949782,75566.01986196054
2022-02-20 00:00:00 UTC,0.2807508143852221,13416580.430717422,18461.187698335365
2022-02-21 00:00:00 UTC,0.281095067937653,13462050.107341124,66082.13619164511
2022-02-22 00:00:00 UTC,0.27391221734691645,13089752.268141236,28646.941157436908
2022-02-23 00:00:00 UTC,0.26772768972343647,12777880.59015174,28239.428776540055
2022-02-24 00:00:00 UTC,0.27087550324119464,13096140.518667037,98897.26723033846
2022-02-25 00:00:00 UTC,0.249162693715715,12061810.13629108,146976.95843199315
2022-02-26 00:00:00 UTC,0.246877319508308,11932503.772933125,35792.42440267159
2022-02-27 00:00:00 UTC,0.2631322881789063,12714194.331178326,16875.899919568146
2022-02-28 00:00:00 UTC,0.2927204629436873,14092851.646068819,96334.61909669757
2022-03-01 00:00:00 UTC,0.29568108666586024,14296005.611196104,66799.7863775426
2022-03-02 00:00:00 UTC,0.2979763645703417,14383596.587542083,63925.12040546149
2022-03-03 00:00:00 UTC,0.290689039711049,14214512.47350468,54692.880503355394
2022-03-04 00:00:00 UTC,0.2911568144334866,14251554.358338391,34329.9152868783
2022-03-05 00:00:00 UTC,0.272381370008704,13338783.404945219,41178.21737057617
2022-03-06 00:00:00 UTC,0.27535484276681255,13469820.44653752,28118.15915244915
2022-03-07 00:00:00 UTC,0.25219687783782674,12345788.506447908,30407.36869933287
2022-03-08 00:00:00 UTC,0.2684855706106605,13718478.350283796,126548.54470124513
2022-03-09 00:00:00 UTC,0.25455401535542843,13043061.96009655,38575.25940260814
2022-03-10 00:00:00 UTC,0.24986695536789097,12964497.134987812,50900.55716504573
2022-03-11 00:00:00 UTC,0.23828361564771777,12363683.011848921,15845.300839554016
2022-03-12 00:00:00 UTC,0.2164890447825177,11254763.227481345,104587.08194920588
2022-03-13 00:00:00 UTC,0.22589737289541312,11728494.573633652,42981.017089122106
2022-03-14 00:00:00 UTC,0.22244345967681964,11557354.20277382,10064.541599679123
2022-03-15 00:00:00 UTC,0.21670300035522844,11248605.418299815,23995.99597515696
2022-03-16 00:00:00 UTC,0.22076887301257914,11450642.374177273,11384.500992321273
2022-03-17 00:00:00 UTC,0.2241799561908135,11517935.659628714,29733.89983717893
2022-03-18 00:00:00 UTC,0.2491260983991009,13083090.691791313,93035.85434519987
2022-03-19 00:00:00 UTC,0.2536072855594334,13287934.285381805,133782.87045489534
2022-03-20 00:00:00 UTC,0.24696737013015566,12936520.643223137,240727.2587893578
2022-03-21 00:00:00 UTC,0.26639277429716557,14008825.017901128,288547.2774577051
2022-03-22 00:00:00 UTC,0.273071639282052,14313306.4723152,328485.32121030794
2022-03-23 00:00:00 UTC,0.2928202268838773,15396761.289097764,370715.08834720857
