snapped_at,price,market_cap,total_volume
2021-10-28 00:00:00 UTC,0.4349324003728087,0.0,13712773.276651483
2021-10-29 00:00:00 UTC,0.4349324003728087,0.0,13712773.276651483
2021-10-30 00:00:00 UTC,0.3477689484746208,0.0,3829597.5265593966
2021-10-31 00:00:00 UTC,0.42336981391703876,0.0,2862627.456225168
2021-11-01 00:00:00 UTC,0.3835733808201338,0.0,2035310.7289068243
2021-11-02 00:00:00 UTC,0.4186085908945928,0.0,1896500.593501418
2021-11-03 00:00:00 UTC,0.6766035842243117,0.0,6810722.188074766
2021-11-04 00:00:00 UTC,0.607105014907831,0.0,6336360.513892065
2021-11-05 00:00:00 UTC,0.6076975158601376,0.0,3193876.708152883
2021-11-06 00:00:00 UTC,0.9616583024174704,35122414.66097348,14126125.875056121
2021-11-07 00:00:00 UTC,0.9399156348384278,34055521.40701718,4948891.882967326
2021-11-08 00:00:00 UTC,1.0540365750457463,39068405.21771315,3916254.4796916367
2021-11-09 00:00:00 UTC,1.0698999981432966,39578304.20880295,5598989.4373147525
2021-11-10 00:00:00 UTC,0.9170641820038195,33802880.82884516,4712408.949882338
2021-11-11 00:00:00 UTC,0.9759708145793027,36218147.99460756,3354758.4259534804
2021-11-12 00:00:00 UTC,1.233425578892278,46049086.48424368,1851128.0587932144
2021-11-13 00:00:00 UTC,1.2596535970327112,47320415.621730514,4371397.26510786
2021-11-14 00:00:00 UTC,1.221142776284904,46733834.90323771,2038515.9725645552
2021-11-15 00:00:00 UTC,1.7484874903467988,67778872.44798052,12752051.079456214
2021-11-16 00:00:00 UTC,2.2361361434575384,87320969.17694137,10992069.142318735
2021-11-17 00:00:00 UTC,2.334760054252143,93349199.81807663,13457389.32300959
2021-11-18 00:00:00 UTC,1.8678339141809923,73634603.38674767,9270543.807137506
2021-11-19 00:00:00 UTC,1.6747514057438597,66538891.87805353,6036313.35922089
2021-11-20 00:00:00 UTC,1.8231217619939835,70110605.33329076,5084972.15467622
2021-11-21 00:00:00 UTC,1.677292930396023,66479372.857726336,3871860.152937545
2021-11-22 00:00:00 UTC,1.8449954056525417,73370004.0763626,3492239.683090161
2021-11-23 00:00:00 UTC,1.5447530036837696,61805414.456320524,3660443.2133508064
2021-11-24 00:00:00 UTC,1.4007872928536986,56601401.03698772,3663993.6618533405
2021-11-25 00:00:00 UTC,1.463123119841014,58348569.67293579,2914277.817372998
2021-11-26 00:00:00 UTC,1.6760395384642535,67624834.73532207,6333672.766773973
2021-11-27 00:00:00 UTC,1.475980987583064,59859352.69289712,3350392.039852674
2021-11-28 00:00:00 UTC,1.31189135453397,54058803.581717215,2870740.1693080994
2021-11-29 00:00:00 UTC,1.3130110757013596,52982929.83719601,1597082.2881494556
2021-11-30 00:00:00 UTC,1.3924013181179804,56877292.58719403,3789622.079242786
2021-12-01 00:00:00 UTC,1.4721504073443565,60886515.97773648,3707285.7856743867
2021-12-02 00:00:00 UTC,1.3290458048908718,54563145.57928966,3438586.7745145075
2021-12-03 00:00:00 UTC,1.2508677851897443,50995906.046294846,3231444.9204650656
2021-12-04 00:00:00 UTC,1.174592158180415,49253620.53953542,2325490.466233229
2021-12-05 00:00:00 UTC,1.056808116330214,44725332.3210096,1166360.6837096917
2021-12-06 00:00:00 UTC,1.1888903332209333,50195794.93658411,2123197.1199706816
2021-12-07 00:00:00 UTC,1.1306191877172131,47817569.485091545,1815740.8819160815
2021-12-08 00:00:00 UTC,1.1415410403789426,48538515.99548382,1386969.9933038733
2021-12-09 00:00:00 UTC,1.0718932746533556,45347700.61141249,1583156.129691271
2021-12-10 00:00:00 UTC,0.8512972588326906,36624395.76017729,2095245.6880378374
2021-12-11 00:00:00 UTC,0.7758062084704335,33303564.021103177,2409726.4995932807
2021-12-12 00:00:00 UTC,0.6570785457605502,28538144.049166173,791246.1528666756
2021-12-13 00:00:00 UTC,0.73954706364344,31531340.104228526,2245420.037378053
2021-12-14 00:00:00 UTC,0.6261023548455545,26543138.19918337,2404975.7271260805
2021-12-15 00:00:00 UTC,0.8000841849713828,35422863.284295335,2729405.8431999763
2021-12-16 00:00:00 UTC,0.8369566950867179,37056958.31150457,1454779.1778943741
2021-12-17 00:00:00 UTC,1.07246841669321,48050986.10096909,3130812.511350986
2021-12-18 00:00:00 UTC,0.9309342085560088,40988694.858961515,1349427.7325720622
2021-12-19 00:00:00 UTC,0.9292219378763785,41124325.7711355,776604.3778527628
2021-12-20 00:00:00 UTC,0.9112826006077667,40989231.05013695,895074.6856632673
2021-12-21 00:00:00 UTC,0.7549702286840053,33341877.933407117,1749023.0306486934
2021-12-22 00:00:00 UTC,0.8129264993651277,36086624.8590956,847142.2857055897
2021-12-23 00:00:00 UTC,0.8342186684381796,37603821.68830487,1201431.405257507
2021-12-24 00:00:00 UTC,0.8775052610087557,41194333.67119987,813684.5604805427
2021-12-25 00:00:00 UTC,0.7902839980164392,36901891.03626733,760217.5591841057
2021-12-26 00:00:00 UTC,0.7808913413500048,36555964.75010066,741093.0391837982
2021-12-27 00:00:00 UTC,0.8229097786373455,38354975.88369631,753346.2092053605
2021-12-28 00:00:00 UTC,0.7963496342936103,37332851.288013265,757034.6379153797
2021-12-29 00:00:00 UTC,0.7089111169505395,33284206.06677759,928557.2681657863
2021-12-30 00:00:00 UTC,0.7353360234911303,34940830.83849241,545688.5891316339
2021-12-31 00:00:00 UTC,0.7506755336472352,35814732.86720061,435894.9127720642
2022-01-01 00:00:00 UTC,0.7547993910320716,35977941.81909137,1459624.9737121614
2022-01-02 00:00:00 UTC,0.8020100768881968,38242676.36254623,674080.849930784
2022-01-03 00:00:00 UTC,0.8635496507185857,41030713.166598015,1103081.645667163
2022-01-04 00:00:00 UTC,0.7953811654316331,37944259.446375,853035.3641881944
2022-01-05 00:00:00 UTC,0.7788917913769529,37220128.02955279,491260.30596056976
2022-01-06 00:00:00 UTC,0.7188240785786056,34334020.986943975,492012.1845377729
2022-01-07 00:00:00 UTC,0.7092527826196964,33963592.738270946,265934.60552643804
2022-01-08 00:00:00 UTC,0.623653421226683,29798689.216726683,587413.0265775614
2022-01-09 00:00:00 UTC,0.5761673349461676,27558470.00912675,380059.28174879996
2022-01-10 00:00:00 UTC,0.6233988270002693,29878341.12549803,472524.95368879644
2022-01-11 00:00:00 UTC,0.557398118450595,26672628.881175138,482144.11944777606
2022-01-12 00:00:00 UTC,0.5184701877954545,25664233.98888556,1233569.5721166702
