timestamp,total_market_cap,total_volume,btc_market_cap,alt_market_cap,alt_dominance,total_volume_pct,alt_market_cap_pct,alt_dominance_pct
2024-12-15 01:00:00,3602450596119.42,131635336672.31,2007611823712.28,1594838772407.1401,44.27094084579839,0.22371364653243847,51.23042505592841,36.46532438478747
2024-12-15 02:00:00,3630442504815.41,127923603174.35,2021136772257.76,1609305732557.65,44.3280875657188,0.2232142857142857,56.47321428571429,37.723214285714285
2024-12-15 03:00:00,3621675342662.93,126981176213.43,2015140825633.68,1606534517029.25,44.35887717776504,0.22271714922048996,53.89755011135857,38.75278396436526
2024-12-15 04:00:00,3612431071372.51,125946227459.88,2013230426084.04,1599200645288.4702,44.26937465912307,0.2222222222222222,52.888888888888886,36.22222222222222
2024-12-15 05:00:00,3631175274418.95,127970101291.56,2025611794380.3,1605563480038.65,44.216083187985674,0.8869179600886918,53.88026607538803,33.92461197339246
2024-12-15 06:00:00,3626453074319.83,127640889198.73,2021465173932.97,1604987900386.86,44.25778763697055,0.6637168141592921,53.76106194690266,36.283185840707965
2024-12-15 07:00:00,3610309866097.89,127059037189.99,2014338637760.66,1595971228337.23,44.20593487899681,0.6622516556291391,51.21412803532009,33.554083885209714
2024-12-15 08:00:00,3597523938761.16,128210854544.12,2013628456235.82,1583895482525.3398,44.02737853832791,1.5418502202643172,48.23788546255506,29.735682819383257
2024-12-15 09:00:00,3614239248687.94,128560329650.82,2018637172489.73,1595602076198.21,44.147660583826976,1.7582417582417582,50.989010989010985,32.08791208791209
2024-12-15 10:00:00,3623467570480.19,128591436859.35,2023068276451.06,1600399294029.13,44.167617424461774,1.9736842105263157,53.289473684210535,32.45614035087719
2024-12-15 11:00:00,3621062107255.71,127631566457.83,2024226831561.0,1596835275694.71,44.09853320369867,0.87527352297593,51.42231947483589,30.85339168490153
2024-12-15 12:00:00,3633089602908.54,127794097243.67,2031741786887.34,1601347816021.2,44.07674984782126,1.3100436681222707,53.7117903930131,30.567685589519648
2024-12-15 13:00:00,3642792469097.05,130100617070.61,2036790131121.83,1606002337975.22,44.08712139380547,2.6143790849673203,54.68409586056645,30.93681917211329
2024-12-15 14:00:00,3646538273390.84,127553895974.76,2034090327761.55,1612447945629.29,44.21859376591455,0.8695652173913043,58.47826086956521,35.0
2024-12-15 15:00:00,3656953853355.59,127956997082.02,2037668054035.15,1619285799320.44,44.2796344786959,1.9522776572668112,61.60520607375272,37.960954446854664
2024-12-15 16:00:00,3649126518457.56,128078681258.19,2032684822656.49,1616441695801.07,44.29667449525208,2.380952380952381,60.3896103896104,38.74458874458874
