timestamp,total_market_cap,total_volume,btc_market_cap,alt_market_cap,alt_dominance,total_volume_pct,alt_market_cap_pct,alt_dominance_pct
2024-12-16 11:00:00,3679256427214.54,167674133298.72,2071128887498.19,1608127539716.35,43.70794946015267,31.088082901554404,42.74611398963731,0.7772020725388601
2024-12-16 12:00:00,3641836877533.58,171312469699.52,2053328727984.81,1588508149548.77,43.61832237320253,33.850129198966414,33.850129198966414,0.516795865633075
2024-12-16 13:00:00,3641292096853.89,172756916124.54,2051116789088.13,1590175307765.76,43.67063299150558,34.5360824742268,34.27835051546392,1.0309278350515463
2024-12-16 14:00:00,3650364153930.17,174169850613.88,2056137916476.08,1594226237454.09,43.673073979144355,35.2185089974293,35.47557840616967,1.2853470437017995
2024-12-16 15:00:00,3688793396429.89,179613287505.76,2085572401941.7,1603220994488.19,43.46193516936538,38.205128205128204,40.256410256410255,0.2564102564102564
2024-12-16 16:00:00,3713283000824.28,188082814971.89,2105032867144.65,1608250133679.63,43.3107342834529,40.92071611253197,43.73401534526854,0.2557544757033248
2024-12-16 17:00:00,3743199706161.23,197679026577.5,2114958732529.13,1628240973632.1,43.49864023958029,43.62244897959184,60.45918367346938,0.7653061224489796
2024-12-16 18:00:00,3760010328225.44,206350929488.5,2120027337419.32,1639982990806.12,43.61644909576937,46.56488549618321,69.72010178117048,1.2722646310432568
2024-12-16 19:00:00,3770989652015.2,216576931178.33,2120796039042.9,1650193612972.3,43.760226498909745,51.776649746192895,76.6497461928934,4.060913705583756
2024-12-16 20:00:00,3751025734184.73,225376762458.99,2110378791443.84,1640646942740.8901,43.73862135332637,56.9620253164557,69.62025316455697,3.5443037974683547
2024-12-16 21:00:00,3730981065661.76,230427469946.68,2094206367927.15,1636774697734.6099,43.869820535910364,58.333333333333336,66.41414141414141,7.575757575757576
2024-12-16 22:00:00,3740608888142.22,230799117251.92,2100102959560.06,1640505928582.1602,43.856654829179966,58.43828715365239,69.52141057934509,7.052896725440807
2024-12-16 23:00:00,3728247208918.0,229796459056.86,2094016269955.89,1634230938962.11,43.833760139430005,57.78894472361809,64.321608040201,6.532663316582915
2024-12-17 00:00:00,3721464308632.09,220584859417.92,2099523990532.68,1621940318099.4102,43.58339039655043,54.13533834586466,54.13533834586466,1.2531328320802004
2024-12-17 01:00:00,3704647012440.79,213434406963.96,2096334455984.56,1608312556456.23,43.4133819242498,50.0,43.5,0.5
2024-12-17 02:00:00,3722894695202.92,210289535782.55,2106079311326.25,1616815383876.67,43.428985137828185,46.633416458852864,49.62593516209476,0.7481296758104738
